Sentence: 0	[subject, predicate, object, confidence level] 
Sentence: 9	[publicized debates,is with,his opponent,1.0]  

 
Sentence: 10	[Lincoln,lost U.S. Senate race to,Douglas,1.0]  

 
Sentence: 11	[Lincoln,secured Republican Party nomination In,1860,1.0]  

Sentence: 11	[Lincoln,secured,Republican Party presidential nomination,1.0]  

Sentence: 11	[Lincoln,secured,Republican Party nomination,1.0]  

Sentence: 11	[Lincoln,secured Republican Party nomination as,moderate from swing state,1.0]  

Sentence: 11	[Lincoln,secured Republican Party nomination as,moderate,1.0]  

 
Sentence: 12	[he,swept With,support in slaveholding states,0.039271560364453006]  

Sentence: 12	[he,swept With,support,0.039271560364453006]  

Sentence: 12	[he,swept North With,little support,1.0]  

Sentence: 12	[he,swept North With,little support in slaveholding states,1.0]  

Sentence: 12	[he,swept With,very little support in slaveholding states,0.039271560364453006]  

Sentence: 12	[he,swept North With,little support in states of South,1.0]  

Sentence: 12	[he,swept With,very little support in slaveholding states of South,0.039271560364453006]  

Sentence: 12	[he,was,elected,1.0]  

Sentence: 12	[he,swept North With,support in states,1.0]  

Sentence: 12	[he,swept With,little support in slaveholding states of South,0.039271560364453006]  

Sentence: 12	[he,swept North With,support in slaveholding states of South,1.0]  

Sentence: 12	[he,swept With,very little support,0.039271560364453006]  

Sentence: 12	[he,swept,North,1.0]  

Sentence: 12	[he,swept With,little support in states of South,0.039271560364453006]  

Sentence: 12	[he,swept North With,very little support in slaveholding states,1.0]  

Sentence: 12	[he,swept North With,very little support,1.0]  

Sentence: 12	[he,swept North With,little support in slaveholding states of South,1.0]  

Sentence: 12	[he,swept North With,very little support in slaveholding states of South,1.0]  

Sentence: 12	[he,swept With,little support in states,0.039271560364453006]  

Sentence: 12	[he,swept With,support in states of South,0.039271560364453006]  

Sentence: 12	[he,swept North With,very little support in states of South,1.0]  

Sentence: 12	[he,swept With,little support,0.039271560364453006]  

Sentence: 12	[he,swept North With,support in states of South,1.0]  

Sentence: 12	[he,was elected in,1860,1.0]  

Sentence: 12	[he,swept North With,little support in states,1.0]  

Sentence: 12	[he,swept With,very little support in states of South,0.039271560364453006]  

Sentence: 12	[he,swept With,support in states,0.039271560364453006]  

Sentence: 12	[he,swept With,very little support in states,0.039271560364453006]  

Sentence: 12	[he,swept North With,support in slaveholding states,1.0]  

Sentence: 12	[he,swept North With,support,1.0]  

Sentence: 12	[he,swept With,support in slaveholding states of South,0.039271560364453006]  

Sentence: 12	[he,swept With,little support in slaveholding states,0.039271560364453006]  

Sentence: 12	[little support,is in,slaveholding states of South,1.0]  

Sentence: 12	[he,was elected,president,1.0]  

Sentence: 12	[he,swept North With,very little support in states,1.0]  

 
Sentence: 13	[seven slave states,form,Confederate States,1.0]  

Sentence: 13	[seven southern slave states,form,States,1.0]  

Sentence: 13	[seven slave states,form,Confederate States of America,1.0]  

Sentence: 13	[seven southern slave states,form,Confederate States,1.0]  

Sentence: 13	[seven slave states,form,States of America,1.0]  

Sentence: 13	[seven southern slave states,form,States of America,1.0]  

Sentence: 13	[seven slave states,form,States,1.0]  

Sentence: 13	[seven southern slave states,form,Confederate States of America,1.0]  

Sentence: 13	[His victory,prompted,seven southern slave states,1.0]  

Sentence: 13	[His victory,prompted,seven slave states,1.0]  

 
Sentence: 14	[Confederate attack,Subsequently inspired North on,April 12 1861,1.0]  

Sentence: 14	[North,rally in,declaration of war,1.0]  

Sentence: 14	[Confederate attack,inspired North on,April 12 1861,1.0]  

Sentence: 14	[North,enthusiastically rally in,declaration,1.0]  

Sentence: 14	[North,enthusiastically rally behind,Union,1.0]  

Sentence: 14	[North,rally in,declaration,1.0]  

Sentence: 14	[Confederate attack,Subsequently inspired,North,1.0]  

Sentence: 14	[attack,Subsequently inspired North on,April 12 1861,1.0]  

Sentence: 14	[attack,Subsequently inspired,North,1.0]  

Sentence: 14	[attack,inspired,North,1.0]  

Sentence: 14	[Confederate attack,inspired,North,1.0]  

Sentence: 14	[attack,inspired North on,April 12 1861,1.0]  

Sentence: 14	[North,rally behind,Union,1.0]  

Sentence: 14	[North,enthusiastically rally in,declaration of war,1.0]  

 
Sentence: 15	[Lincoln,confronted,Radical Republicans,1.0]  

Sentence: 15	[Lincoln,confronted Radical Republicans As,leader of faction of Republican Party,1.0]  

Sentence: 15	[Lincoln,confronted Radical Republicans As,leader,1.0]  

Sentence: 15	[Lincoln,confronted Radical Republicans As,leader of moderate faction of Republican Party,1.0]  

Sentence: 15	[Lincoln,confronted Radical Republicans As,leader of faction,1.0]  

Sentence: 15	[Lincoln,confronted Radical Republicans As,leader of moderate faction,1.0]  

 
Sentence: 16	[Lincoln,Politically fought by,planned political patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought by,carefully planned political patronage,1.0]  

Sentence: 16	[Lincoln,fought back by,patronage,1.0]  

Sentence: 16	[Lincoln,fought back by,planned patronage,1.0]  

Sentence: 16	[Lincoln,fought by,carefully planned patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought by,political patronage,1.0]  

Sentence: 16	[Lincoln,appealing to,American people,1.0]  

Sentence: 16	[Lincoln,Politically fought back by,carefully planned patronage,1.0]  

Sentence: 16	[Lincoln,fought by,carefully planned political patronage,1.0]  

Sentence: 16	[Lincoln,fought by,patronage,1.0]  

Sentence: 16	[Lincoln,fought back by,political patronage,1.0]  

Sentence: 16	[Lincoln,appealing with,his powers of oratory,1.0]  

Sentence: 16	[Lincoln,Politically fought back by,political patronage,1.0]  

Sentence: 16	[Lincoln,fought by,planned patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought by,carefully planned patronage,1.0]  

Sentence: 16	[Lincoln,appealing with,his powers,1.0]  

Sentence: 16	[Lincoln,fought by,political patronage,1.0]  

Sentence: 16	[Lincoln,fought back by,planned political patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought back by,planned political patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought by,patronage,1.0]  

Sentence: 16	[Lincoln,pitting,his opponents,1.0]  

Sentence: 16	[Lincoln,Politically fought back by,carefully planned political patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought back by,patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought back by,planned patronage,1.0]  

Sentence: 16	[Lincoln,appealing to,people,1.0]  

Sentence: 16	[Lincoln,fought by,planned political patronage,1.0]  

Sentence: 16	[Lincoln,fought back by,carefully planned political patronage,1.0]  

Sentence: 16	[Lincoln,Politically fought by,planned patronage,1.0]  

Sentence: 16	[Lincoln,fought back by,carefully planned patronage,1.0]  

 
Sentence: 17	[His Gettysburg Address,iconic endorsement of,principles of nationalism,1.0]  

Sentence: 17	[His Gettysburg Address,became,endorsement,1.0]  

Sentence: 17	[His Gettysburg Address,became,endorsement of principles,1.0]  

Sentence: 17	[His Gettysburg Address,became,endorsement of principles of nationalism,1.0]  

Sentence: 17	[His Gettysburg Address,became,iconic endorsement of principles of nationalism,1.0]  

Sentence: 17	[His Gettysburg Address,became,iconic endorsement,1.0]  

Sentence: 17	[His Gettysburg Address,endorsement of,principles,1.0]  

Sentence: 17	[His Gettysburg Address,iconic endorsement of,principles,1.0]  

Sentence: 17	[His Gettysburg Address,became,iconic endorsement of principles,1.0]  

Sentence: 17	[His Gettysburg Address,endorsement of,principles of nationalism,1.0]  

 
Sentence: 18	[Lincoln,concentrated on,dimensions of war,1.0]  

Sentence: 18	[Lincoln,initially concentrated on,military dimensions of war,1.0]  

Sentence: 18	[Lincoln,concentrated on,military dimensions,1.0]  

Sentence: 18	[Lincoln,concentrated on,military dimensions of war,1.0]  

Sentence: 18	[Lincoln,initially concentrated on,military dimensions,1.0]  

Sentence: 18	[Lincoln,initially concentrated on,dimensions of war,1.0]  

Sentence: 18	[Lincoln,concentrated on,dimensions,1.0]  

Sentence: 18	[Lincoln,initially concentrated on,dimensions,1.0]  

 
Sentence: 19	[His goal,reunite,nation,1.0]  

Sentence: 19	[His primary goal,reunite,nation,1.0]  

 
Sentence: 20	[He,suspended,habeas corpus,1.0]  

Sentence: 20	[He,leading to,ex parte Merryman decision,1.0]  

Sentence: 20	[he,averted,potential British intervention in war,1.0]  

Sentence: 20	[he,defusing Trent Affair in,late 1861,1.0]  

Sentence: 20	[He,leading to,controversial ex parte Merryman decision,1.0]  

Sentence: 20	[he,averted,potential intervention,1.0]  

Sentence: 20	[he,potential British intervention in,war,0.5058277678123358]  

Sentence: 20	[potential British intervention,is in,war,1.0]  

Sentence: 20	[he,defusing,Trent Affair,1.0]  

Sentence: 20	[he,averted,potential British intervention,1.0]  

Sentence: 20	[he,potential intervention in,war,0.5058277678123358]  

Sentence: 20	[he,averted,potential intervention in war,1.0]  

 
Sentence: 21	[Lincoln,closely supervised,selection of generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection,1.0]  

Sentence: 21	[Lincoln,supervised,war effort,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of top generals,1.0]  

Sentence: 21	[Lincoln,supervised,selection of top generals,1.0]  

Sentence: 21	[Lincoln,supervised,selection of generals,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of generals including his general,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of top generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,supervised,selection of top generals including his general,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of generals,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of top generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,supervised,selection of top generals including his successful general,1.0]  

Sentence: 21	[Lincoln,supervised,selection of top generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of generals including his successful general,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of generals including his successful general,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of top generals including his successful general,1.0]  

Sentence: 21	[Lincoln,supervised,selection of generals including his general,1.0]  

Sentence: 21	[Lincoln,supervised,selection,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of top generals including his general,1.0]  

Sentence: 21	[Lincoln,closely supervised,war effort,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of generals,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of top generals including his successful general,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of generals including his successful general,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,supervised,selection of generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of generals including his general,1.0]  

Sentence: 21	[Lincoln,supervised,selection of generals including his successful general,1.0]  

Sentence: 21	[his,general,Ulysses S. Grant,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of generals including his general,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of top generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of top generals,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of top generals including his successful general,1.0]  

Sentence: 21	[Lincoln,closely supervised,especially selection of generals including his most successful general,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of generals,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of top generals,1.0]  

Sentence: 21	[Lincoln,closely supervised,selection of top generals including his general,1.0]  

Sentence: 21	[Lincoln,supervised,especially selection of top generals including his general,1.0]  

 
Sentence: 22	[He,made decisions on,Union war strategy,1.0]  

Sentence: 22	[He,also made,major decisions,1.0]  

Sentence: 22	[He,also made decisions on,Union war strategy,1.0]  

Sentence: 22	[He,made,decisions,1.0]  

Sentence: 22	[He,also made,decisions,1.0]  

Sentence: 22	[South,has,normal trade,1.0]  

Sentence: 22	[He,made decisions on,Union war strategy including blockade,1.0]  

Sentence: 22	[He,also made decisions on,Union war strategy including blockade,1.0]  

Sentence: 22	[He,made,major decisions,1.0]  

 
Sentence: 23	[Lincoln,capture,Confederate capital,1.0]  

Sentence: 23	[Lincoln,capture capital at,Richmond,1.0]  

Sentence: 23	[Lincoln,capture,capital,1.0]  

 
Sentence: 24	[Lincoln,subsequently used,U.S. Army,1.0]  

Sentence: 24	[Lincoln,protect,slaves,1.0]  

Sentence: 24	[his complex,moves,war progressed,1.0]  

Sentence: 24	[Lincoln,pushed,Thirteenth Amendment,1.0]  

Sentence: 24	[his complex,ending,slavery began with Emancipation Proclamation of 1863,1.0]  

Sentence: 24	[Lincoln,pushed Thirteenth Amendment through,Congress,1.0]  

Sentence: 24	[Lincoln,pushed Thirteenth Amendment to,United States Constitution,1.0]  

Sentence: 24	[Lincoln,used,U.S. Army,1.0]  

Sentence: 24	[his complex,ending,slavery began,1.0]  

Sentence: 24	[his complex,moves,ending,1.0]  

Sentence: 24	[slavery,began with,Emancipation Proclamation,1.0]  

Sentence: 24	[border,outlaw,slavery,1.0]  

Sentence: 24	[his complex,ending,slavery began with Emancipation Proclamation,1.0]  

Sentence: 24	[Lincoln,protect,escaped slaves,1.0]  

Sentence: 24	[slavery,began with,Emancipation Proclamation of 1863,1.0]  

 
Sentence: 25	[politician,involved with,power issues state,1.0]  

Sentence: 25	[astute politician,deeply involved with,power issues state,1.0]  

Sentence: 25	[Lincoln,managed,his own re-election campaign,1.0]  

Sentence: 25	[power issues,is in,state,1.0]  

Sentence: 25	[politician,deeply involved with,power issues state,1.0]  

Sentence: 25	[Lincoln,managed,his re-election campaign,1.0]  

Sentence: 25	[Lincoln,reached out to,War Democrats,1.0]  

Sentence: 25	[astute politician,involved with,power issues state,1.0]  

 
Sentence: 26	[Lincoln,pushed,view of Reconstruction,1.0]  

Sentence: 26	[policy,is in,face of lingering divisiveness,1.0]  

Sentence: 26	[Lincoln,pushed,moderate view,1.0]  

Sentence: 26	[Lincoln,Anticipating,war 's conclusion,1.0]  

Sentence: 26	[Lincoln,pushed,view,1.0]  

Sentence: 26	[war,has,conclusion,1.0]  

Sentence: 26	[Lincoln,pushed,moderate view of Reconstruction,1.0]  

 
Sentence: 27	[April surrender,was,assassinated,0.7345870364515564]  

Sentence: 27	[April 9th surrender,was,assassinated,0.7345870364515564]  

Sentence: 27	[April 9th surrender,was assassinated by,John Wilkes Booth,0.7345870364515564]  

Sentence: 27	[April surrender,was assassinated by,sympathizer,0.7345870364515564]  

Sentence: 27	[April surrender,was assassinated by,John Wilkes Booth,0.7345870364515564]  

Sentence: 27	[April 9th surrender,was assassinated by,sympathizer,0.7345870364515564]  

Sentence: 27	[April surrender,was assassinated by,Confederate sympathizer,0.7345870364515564]  

Sentence: 27	[April 9th surrender,was assassinated by,Confederate sympathizer,0.7345870364515564]  

 
Sentence: 28	[Lincoln,has,has consistently ranked,1.0]  

Sentence: 28	[Lincoln,has,has consistently ranked by scholars,1.0]  

Sentence: 28	[Lincoln,has,has ranked,1.0]  

Sentence: 28	[Lincoln,has,has ranked by scholars,1.0]  

 
Sentence: 29	[Abraham Lincoln,was born in,now LaRue County,0.308421633671098]  

Sentence: 29	[Abraham Lincoln,was born,second child of Thomas Hanks Lincoln,1.0]  

Sentence: 29	[Abraham Lincoln,was born,child,1.0]  

Sentence: 29	[Abraham Lincoln,was born,child of Thomas Hanks Lincoln,1.0]  

Sentence: 29	[Abraham Lincoln,was born,February 12 1809,1.0]  

Sentence: 29	[Abraham Lincoln,was born in,LaRue County,0.308421633671098]  

Sentence: 29	[Sinking Spring Farm,is in,Hardin County,1.0]  

Sentence: 29	[February 12 1809,child of,Thomas Hanks Lincoln,1.0]  

Sentence: 29	[Abraham Lincoln,was born in,log cabin,0.308421633671098]  

Sentence: 29	[Sinking Spring Farm,on cabin is,now LaRue County,1.0]  

Sentence: 29	[Abraham Lincoln,was born in,one-room log cabin on Sinking Spring Farm,0.308421633671098]  

Sentence: 29	[Abraham Lincoln,was born,second child,1.0]  

Sentence: 29	[Abraham Lincoln,was born in,log cabin on Sinking Spring Farm,0.308421633671098]  

Sentence: 29	[Abraham Lincoln,was born in,log cabin on Sinking Spring Farm in Hardin County,0.308421633671098]  

Sentence: 29	[Abraham Lincoln,was born in,one-room log cabin on Sinking Spring Farm in Hardin County,0.308421633671098]  

Sentence: 29	[Abraham Lincoln,was,born,0.308421633671098]  

Sentence: 29	[Abraham Lincoln,was born in,one-room log cabin,0.308421633671098]  

 
Sentence: 30	[Hingham,to Norfolk is,England,1.0]  

Sentence: 30	[He,is,descendant,1.0]  

Sentence: 30	[He,is descendant of,Samuel Lincoln,1.0]  

 
Sentence: 31	[Samuel,has,grandson,1.0]  

Sentence: 31	[Samuel 's grandson,began,family 's western migration,1.0]  

Sentence: 31	[family,has,western migration,1.0]  

Sentence: 31	[great-grandson,began,family 's western migration,1.0]  

Sentence: 31	[great-grandson,began,family 's migration,1.0]  

Sentence: 31	[Samuel 's grandson,began,family 's migration,1.0]  

 
Sentence: 32	[Lincoln 's paternal grandfather,moved from,Virginia,0.15377660881103794]  

Sentence: 32	[namesake,moved,family,1.0]  

Sentence: 32	[Lincoln,has,grandfather,1.0]  

Sentence: 32	[namesake,moved family to,Jefferson County in 1780s,1.0]  

Sentence: 32	[Lincoln 's paternal grandfather,moved to,Jefferson County in 1780s,0.15377660881103794]  

Sentence: 32	[Lincoln 's paternal grandfather,moved family to,Jefferson County in 1780s,1.0]  

Sentence: 32	[Lincoln 's grandfather,moved,family,1.0]  

Sentence: 32	[Lincoln 's paternal grandfather,moved family from,Virginia,1.0]  

Sentence: 32	[Lincoln 's grandfather,moved to,Jefferson County in 1780s,0.15377660881103794]  

Sentence: 32	[Lincoln 's grandfather,moved to,Kentucky,0.15377660881103794]  

Sentence: 32	[namesake,moved from,Virginia,0.15377660881103794]  

Sentence: 32	[Lincoln 's grandfather,moved to,Jefferson County,0.15377660881103794]  

Sentence: 32	[Lincoln 's paternal grandfather,moved family to,Jefferson County,1.0]  

Sentence: 32	[Lincoln 's grandfather,moved family to,Jefferson County in 1780s,1.0]  

Sentence: 32	[Lincoln 's paternal grandfather,moved to,Kentucky,0.15377660881103794]  

Sentence: 32	[Lincoln 's grandfather,moved from,Virginia,0.15377660881103794]  

Sentence: 32	[namesake,moved to,Jefferson County,0.15377660881103794]  

Sentence: 32	[namesake,moved family to,Kentucky,1.0]  

Sentence: 32	[Lincoln 's grandfather,moved family to,Kentucky,1.0]  

Sentence: 32	[Lincoln 's paternal grandfather,moved to,Jefferson County,0.15377660881103794]  

Sentence: 32	[Lincoln 's paternal grandfather,moved,family,1.0]  

Sentence: 32	[namesake,moved family from,Virginia,1.0]  

Sentence: 32	[1780s,in County is,Kentucky,1.0]  

Sentence: 32	[Lincoln,'s grandfather is,Captain Abraham Lincoln,1.0]  

Sentence: 32	[namesake,moved family to,Jefferson County,1.0]  

Sentence: 32	[namesake,moved to,Kentucky,0.15377660881103794]  

Sentence: 32	[Lincoln 's grandfather,moved family from,Virginia,1.0]  

Sentence: 32	[namesake,moved to,Jefferson County in 1780s,0.15377660881103794]  

Sentence: 32	[Lincoln 's paternal grandfather,moved family to,Kentucky,1.0]  

Sentence: 32	[Jefferson County,is in,1780s,1.0]  

Sentence: 32	[Lincoln 's grandfather,moved family to,Jefferson County,1.0]  

 
Sentence: 33	[Captain Lincoln,was killed in,Indian raid,1.0]  

Sentence: 33	[Captain Lincoln,was,killed in Indian raid in 1786,1.0]  

Sentence: 33	[Captain Lincoln,was,killed,1.0]  

Sentence: 33	[Captain Lincoln,was,killed in raid in 1786,1.0]  

Sentence: 33	[Captain Lincoln,was killed in,raid,1.0]  

Sentence: 33	[Captain Lincoln,was killed in,1786,1.0]  

 
Sentence: 34	[future president,has,father,1.0]  

Sentence: 34	[six-year-old Thomas,father 's,future president,1.0]  

Sentence: 34	[His children,witnessed,attack,1.0]  

 
Sentence: 35	[Thomas,was,left,1.0]  

Sentence: 35	[his own way,working at,odd jobs,1.0]  

Sentence: 35	[his way,working at,jobs in Tennessee,1.0]  

Sentence: 35	[his own way,working at,jobs,1.0]  

Sentence: 35	[his way,working at,odd jobs,1.0]  

Sentence: 35	[his own way,working at,odd jobs in Tennessee,1.0]  

Sentence: 35	[his way,working at,odd jobs in Kentucky in Tennessee,1.0]  

Sentence: 35	[Thomas,make,his own way,1.0]  

Sentence: 35	[his own way,working at,jobs in Kentucky,1.0]  

Sentence: 35	[jobs,is in,Kentucky,1.0]  

Sentence: 35	[his way,working at,jobs in Kentucky,1.0]  

Sentence: 35	[Thomas,was left After,his father 's murder,1.0]  

Sentence: 35	[his family,is in,Hardin County,1.0]  

Sentence: 35	[Thomas,make,his way,1.0]  

Sentence: 35	[his own way,working at,odd jobs in Kentucky,1.0]  

Sentence: 35	[his way,working at,jobs in Kentucky in Tennessee,1.0]  

Sentence: 35	[his way,working at,odd jobs in Tennessee,1.0]  

Sentence: 35	[his way,working at,jobs,1.0]  

Sentence: 35	[his way,working at,odd jobs in Kentucky,1.0]  

Sentence: 35	[his own way,working at,jobs in Kentucky in Tennessee,1.0]  

Sentence: 35	[his own way,working at,odd jobs in Kentucky in Tennessee,1.0]  

Sentence: 35	[father,After,murder,1.0]  

Sentence: 35	[jobs,is in,Tennessee,1.0]  

Sentence: 35	[his own way,working at,jobs in Tennessee,1.0]  

 
Sentence: 36	[Lincoln 's mother,was born,West Virginia,1.0]  

Sentence: 36	[Lincoln 's mother,was,daughter,1.0]  

Sentence: 36	[Lincoln,'s mother is,Nancy,1.0]  

Sentence: 36	[Lincoln 's mother,was born,then part,1.0]  

Sentence: 36	[Lincoln 's mother,was born,Mineral County,1.0]  

Sentence: 36	[Lincoln 's mother,was born,then part of Virginia,1.0]  

Sentence: 36	[Lincoln 's mother,was,born,1.0]  

Sentence: 36	[Lincoln 's mother,was daughter of,Lucy Shipley Hanks,1.0]  

Sentence: 36	[Mineral County,part of,Virginia,1.0]  

Sentence: 36	[Lincoln 's mother,was born,part of Virginia,1.0]  

Sentence: 36	[Lincoln,has,mother,1.0]  

Sentence: 36	[Lincoln 's mother,was born,now Mineral County,1.0]  

Sentence: 36	[Lincoln 's mother,was born,part,1.0]  

 
Sentence: 37	[Lincoln,of,maternal grandfather,1.0]  

Sentence: 37	[identity,is,unclear,1.0]  

 
Sentence: 38	[William Ensign Lincoln,According to,book,1.0]  

Sentence: 38	[Ancestry,was,daughter,1.0]  

Sentence: 38	[Ancestry,was daughter According to,William Ensign Lincoln 's book,1.0]  

Sentence: 38	[she,was born out of,wedlock,1.0]  

Sentence: 38	[Ancestry,was daughter of,Joseph Hanks,1.0]  

Sentence: 38	[she,was,born,1.0]  

Sentence: 38	[debate,however continues,born,1.0]  

Sentence: 38	[debate,continues,born,1.0]  

 
Sentence: 39	[Lucy Hanks,migrated with,her daughter,1.0]  

Sentence: 39	[Lucy Hanks,migrated to,Kentucky,1.0]  

Sentence: 39	[Lucy Hanks,migrated with,Nancy,1.0]  

Sentence: 39	[her,daughter,Nancy,1.0]  

 
Sentence: 40	[women,resided with,relatives in Washington County,1.0]  

Sentence: 40	[women,resided with,relatives,1.0]  

Sentence: 40	[two women,resided with,relatives,1.0]  

Sentence: 40	[two women,resided with,relatives in Washington County,1.0]  

Sentence: 40	[relatives,is in,Washington County,1.0]  

 
Sentence: 41	[Nancy Hanks,moved to,Kentucky,1.0]  

Sentence: 41	[Thomas Lincoln,were,married on June 12 1806,1.0]  

Sentence: 41	[June 12 1806,is in,Washington County,1.0]  

Sentence: 41	[Nancy Hanks,moved to,Elizabethtown,1.0]  

Sentence: 41	[Thomas Lincoln,were,married,1.0]  

Sentence: 41	[Nancy Hanks,moved following,their marriage,1.0]  

Sentence: 41	[Thomas Lincoln,were,married on June 12 1806 in Washington County,1.0]  

 
Sentence: 42	[They,parents of,three children,1.0]  

Sentence: 42	[They,became,parents,1.0]  

Sentence: 42	[They,became,parents of three children,1.0]  

 
Sentence: 43	[land title dispute,however forced,move,0.08417186681517996]  

